"Kod";"Nazwa";"rynek pierwotny;ogółem;2018;[zł]";"rynek pierwotny;ogółem;2019;[zł]";"rynek pierwotny;ogółem;2020;[zł]";"rynek pierwotny;ogółem;2021;[zł]";"rynek pierwotny;ogółem;2022;[zł]";"rynek pierwotny;do 40 m2;2018;[zł]";"rynek pierwotny;do 40 m2;2019;[zł]";"rynek pierwotny;do 40 m2;2020;[zł]";"rynek pierwotny;do 40 m2;2021;[zł]";"rynek pierwotny;do 40 m2;2022;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2018;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2019;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2020;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2021;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2022;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2018;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2019;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2020;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2021;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2022;[zł]";"rynek pierwotny;od 80,1 m2;2018;[zł]";"rynek pierwotny;od 80,1 m2;2019;[zł]";"rynek pierwotny;od 80,1 m2;2020;[zł]";"rynek pierwotny;od 80,1 m2;2021;[zł]";"rynek pierwotny;od 80,1 m2;2022;[zł]";"rynek wtórny;ogółem;2018;[zł]";"rynek wtórny;ogółem;2019;[zł]";"rynek wtórny;ogółem;2020;[zł]";"rynek wtórny;ogółem;2021;[zł]";"rynek wtórny;ogółem;2022;[zł]";"rynek wtórny;do 40 m2;2018;[zł]";"rynek wtórny;do 40 m2;2019;[zł]";"rynek wtórny;do 40 m2;2020;[zł]";"rynek wtórny;do 40 m2;2021;[zł]";"rynek wtórny;do 40 m2;2022;[zł]";"rynek wtórny;od 40,1 do 60 m2;2018;[zł]";"rynek wtórny;od 40,1 do 60 m2;2019;[zł]";"rynek wtórny;od 40,1 do 60 m2;2020;[zł]";"rynek wtórny;od 40,1 do 60 m2;2021;[zł]";"rynek wtórny;od 40,1 do 60 m2;2022;[zł]";"rynek wtórny;od 60,1 do 80 m2;2018;[zł]";"rynek wtórny;od 60,1 do 80 m2;2019;[zł]";"rynek wtórny;od 60,1 do 80 m2;2020;[zł]";"rynek wtórny;od 60,1 do 80 m2;2021;[zł]";"rynek wtórny;od 60,1 do 80 m2;2022;[zł]";"rynek wtórny;od 80,1 m2;2018;[zł]";"rynek wtórny;od 80,1 m2;2019;[zł]";"rynek wtórny;od 80,1 m2;2020;[zł]";"rynek wtórny;od 80,1 m2;2021;[zł]";"rynek wtórny;od 80,1 m2;2022;[zł]";
0413000;"Powiat sępoleński";0;0;0;247568;;0;0;0;0;;0;0;0;222109;;0;0;0;270481;;0;0;0;0;;102635;117608;130131;153980;;67111;71236;85773;103300;;102500;110125;137720;117814;;133100;156758;177167;216001;;170400;202750;150200;264700;;
0414000;"Powiat świecki";207926;214032;242328;226137;;0;0;0;167095;;168862;174602;203867;201708;;238375;234534;268695;263707;;0;260955;331969;0;;136684;147500;168983;192883;;92506;101979;109493;136296;;143370;144834;174396;185212;;167483;188561;257744;250768;;240409;239714;218250;324454;;
0415000;"Powiat toruński";168542;180378;204550;236509;;111628;121269;0;156714;;162651;178026;180663;226449;;211890;225121;251185;285499;;0;283216;0;532667;;142628;152229;184402;234063;;101332;86898;109183;94115;;121602;155765;179828;206823;;195560;192045;224195;293185;;291250;265700;357742;405448;;
0416000;"Powiat tucholski";0;0;0;187357;;0;0;0;168847;;0;0;0;204707;;0;0;0;0;;0;0;0;0;;114479;136510;136178;193026;;67200;98333;83578;119264;;101632;119670;138566;185040;;146220;197773;181905;192813;;0;167600;184120;329444;;
0417000;"Powiat wąbrzeski";0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;90091;125651;144471;146155;;69526;103231;112211;96591;;103685;120799;146329;156709;;109500;171556;183958;195581;;0;0;0;0;;
0418000;"Powiat włocławski";130400;166524;0;129800;;0;0;0;0;;145333;157831;0;0;;0;0;0;0;;0;0;0;0;;76935;92263;105162;108688;;50522;73190;49865;42683;;92341;88902;101865;97094;;92625;136718;168969;182400;;0;130000;0;250667;;
0419000;"Powiat żniński";163372;170400;249657;232130;;130165;152080;0;166433;;191237;189800;0;234762;;248987;0;252100;278363;;0;0;0;0;;120570;130698;142540;157153;;88472;102703;108769;109912;;123693;124104;135217;157962;;157605;169870;193127;191454;;140400;177250;139952;222259;;
0461000;"Powiat m. Bydgoszcz";277504;287970;328977;338108;;169763;180999;208314;215324;;247615;267086;310309;316922;;364154;373891;425390;449779;;537421;524869;618788;649960;;211327;238687;266515;286895;;138714;161063;182100;200159;;213810;241995;264415;287346;;280196;314565;357418;374507;;357502;380598;456196;472992;;
0462000;"Powiat m. Grudziądz";235128;239572;220285;243911;;124361;135006;145559;131721;;187500;196684;202288;211347;;252948;256224;280021;300096;;272853;340976;386948;383388;;145846;157397;178138;189037;;99797;105057;113645;132050;;147581;155219;166584;184838;;188683;200963;216607;236772;;208793;300224;352829;344963;;
0463000;"Powiat m. Toruń";275275;280841;338773;389861;;154886;189727;204896;238660;;260852;275136;304612;333361;;354047;374188;394103;441447;;468953;648288;659359;745372;;239285;270492;310801;347325;;163956;193570;220844;251224;;233861;260207;308024;331360;;295280;324612;386788;426623;;412821;463865;506073;609089;;
0464000;"Powiat m. Włocławek";172087;204076;209413;257644;;101491;146234;147359;161459;;164565;184391;182906;259373;;217327;246955;231450;326137;;288632;443437;374969;0;;130850;149948;186246;224241;;94098;106712;124724;157027;;130607;153895;199028;226839;;184875;213434;238682;311526;;230599;197958;335162;333600;;
