"Kod";"Nazwa";"rynek pierwotny;do 40 m2;2018;[szt.]";"rynek pierwotny;do 40 m2;2019;[szt.]";"rynek pierwotny;do 40 m2;2020;[szt.]";"rynek pierwotny;do 40 m2;2021;[szt.]";"rynek pierwotny;do 40 m2;2022;[szt.]";"rynek pierwotny;od 40,1 do 60 m2;2018;[szt.]";"rynek pierwotny;od 40,1 do 60 m2;2019;[szt.]";"rynek pierwotny;od 40,1 do 60 m2;2020;[szt.]";"rynek pierwotny;od 40,1 do 60 m2;2021;[szt.]";"rynek pierwotny;od 40,1 do 60 m2;2022;[szt.]";"rynek pierwotny;od 60,1 do 80 m2;2018;[szt.]";"rynek pierwotny;od 60,1 do 80 m2;2019;[szt.]";"rynek pierwotny;od 60,1 do 80 m2;2020;[szt.]";"rynek pierwotny;od 60,1 do 80 m2;2021;[szt.]";"rynek pierwotny;od 60,1 do 80 m2;2022;[szt.]";"rynek pierwotny;od 80,1 m2;2018;[szt.]";"rynek pierwotny;od 80,1 m2;2019;[szt.]";"rynek pierwotny;od 80,1 m2;2020;[szt.]";"rynek pierwotny;od 80,1 m2;2021;[szt.]";"rynek pierwotny;od 80,1 m2;2022;[szt.]";"rynek wtórny;do 40 m2;2018;[szt.]";"rynek wtórny;do 40 m2;2019;[szt.]";"rynek wtórny;do 40 m2;2020;[szt.]";"rynek wtórny;do 40 m2;2021;[szt.]";"rynek wtórny;do 40 m2;2022;[szt.]";"rynek wtórny;od 40,1 do 60 m2;2018;[szt.]";"rynek wtórny;od 40,1 do 60 m2;2019;[szt.]";"rynek wtórny;od 40,1 do 60 m2;2020;[szt.]";"rynek wtórny;od 40,1 do 60 m2;2021;[szt.]";"rynek wtórny;od 40,1 do 60 m2;2022;[szt.]";"rynek wtórny;od 60,1 do 80 m2;2018;[szt.]";"rynek wtórny;od 60,1 do 80 m2;2019;[szt.]";"rynek wtórny;od 60,1 do 80 m2;2020;[szt.]";"rynek wtórny;od 60,1 do 80 m2;2021;[szt.]";"rynek wtórny;od 60,1 do 80 m2;2022;[szt.]";"rynek wtórny;od 80,1 m2;2018;[szt.]";"rynek wtórny;od 80,1 m2;2019;[szt.]";"rynek wtórny;od 80,1 m2;2020;[szt.]";"rynek wtórny;od 80,1 m2;2021;[szt.]";"rynek wtórny;od 80,1 m2;2022;[szt.]";
1212000;"Powiat olkuski";0;0;0;14;;3;6;0;21;;0;0;0;22;;0;0;0;5;;43;33;32;55;;65;80;72;106;;43;39;33;56;;3;0;4;7;;
1213000;"Powiat oświęcimski";21;29;32;13;;72;52;49;21;;44;10;48;13;;0;0;16;0;;104;119;103;136;;157;157;139;170;;44;57;49;72;;4;9;10;13;;
1214000;"Powiat proszowicki";0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;6;3;3;6;;10;6;7;6;;0;0;0;0;;0;0;0;0;;
1215000;"Powiat suski";0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;5;3;9;4;;17;16;10;6;;0;0;8;0;;0;3;0;5;;
1216000;"Powiat tarnowski";0;0;0;0;;0;0;0;0;;0;0;12;4;;0;0;0;14;;0;3;4;0;;0;5;13;11;;0;3;0;0;;0;0;0;6;;
1217000;"Powiat tatrzański";13;8;19;6;;19;12;13;94;;12;7;3;18;;7;14;7;26;;71;70;76;92;;100;118;104;106;;37;45;34;46;;18;19;23;45;;
1218000;"Powiat wadowicki";0;0;42;0;;3;25;49;21;;6;9;23;14;;7;9;0;11;;36;38;32;43;;56;61;69;67;;23;21;19;21;;7;11;8;22;;
1219000;"Powiat wielicki";24;61;99;90;;138;290;314;420;;225;139;128;212;;27;23;35;94;;24;32;26;37;;67;84;87;171;;30;39;78;89;;16;17;21;33;;
1261000;"Powiat m. Kraków";2397;2341;2019;2331;;4015;4022;3175;4055;;1333;1486;1299;1884;;385;451;546;771;;1106;1640;1518;2147;;1476;2055;1944;2856;;557;743;716;1020;;316;425;359;502;;
1262000;"Powiat m. Nowy Sącz";14;0;0;27;;63;0;0;48;;18;0;0;5;;0;0;0;0;;55;65;74;87;;90;174;187;218;;58;65;87;101;;30;60;49;64;;
1263000;"Powiat m. Tarnów";29;17;35;24;;46;65;88;96;;44;46;49;57;;0;10;26;27;;114;115;99;110;;202;184;162;172;;79;59;50;51;;22;35;19;24;;
1400000;"MAZOWIECKIE";2449;2540;3626;3527;;5288;5898;7405;6862;;3283;3986;4799;4468;;1896;2563;3338;3916;;6108;5858;5067;5671;;9248;9473;8237;9321;;4033;3900;3230;3712;;2473;2579;2388;2511;;
1401000;"Powiat białobrzeski";0;0;0;0;;0;3;3;4;;0;0;0;0;;0;0;0;0;;0;4;4;4;;10;8;16;5;;3;3;24;3;;0;0;0;0;;
1402000;"Powiat ciechanowski";27;26;72;43;;92;111;180;97;;31;96;108;29;;0;12;19;6;;44;38;40;62;;51;73;77;89;;28;33;25;51;;8;7;0;9;;
1403000;"Powiat garwoliński";0;17;53;24;;0;15;88;46;;0;17;25;26;;0;5;9;19;;8;19;27;19;;5;18;34;33;;0;13;9;13;;0;5;0;0;;
1404000;"Powiat gostyniński";7;16;0;0;;6;9;12;0;;3;9;0;0;;0;0;0;0;;16;13;14;24;;33;30;20;26;;12;8;7;13;;4;0;4;0;;
1405000;"Powiat grodziski";25;13;19;48;;28;51;98;203;;13;29;99;137;;29;49;215;203;;50;50;56;53;;42;76;103;115;;18;24;35;51;;47;98;182;197;;
1406000;"Powiat grójecki";47;0;45;44;;76;22;83;58;;38;4;27;10;;0;0;8;0;;52;25;60;42;;66;76;95;167;;26;30;28;30;;3;13;6;25;;
1407000;"Powiat kozienicki";0;0;0;0;;17;11;14;0;;4;0;8;0;;0;0;0;0;;27;20;23;22;;60;59;47;67;;11;12;10;8;;0;0;0;0;;
1408000;"Powiat legionowski";44;124;73;215;;141;179;101;173;;137;118;87;151;;47;74;72;132;;108;94;99;101;;199;193;181;207;;76;100;94;147;;39;61;98;114;;
1409000;"Powiat lipski";0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;5;0;4;5;;10;5;8;5;;0;0;6;4;;0;0;0;0;;
1410000;"Powiat łosicki";0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;4;14;5;4;;7;55;9;8;;0;13;3;0;;0;0;0;0;;
1411000;"Powiat makowski";0;12;7;0;;0;6;10;0;;0;7;3;7;;0;0;0;0;;12;10;12;9;;14;13;16;12;;9;10;0;10;;0;0;0;0;;
1412000;"Powiat miński";96;30;29;65;;256;143;103;242;;176;29;61;132;;38;31;45;61;;58;73;32;40;;120;154;122;161;;38;57;55;70;;13;13;27;27;;
1413000;"Powiat mławski";17;10;22;74;;52;111;143;324;;34;86;34;63;;3;5;10;17;;33;37;29;48;;75;67;71;89;;30;27;23;41;;7;8;6;8;;
1414000;"Powiat nowodworski";37;75;206;79;;72;123;208;112;;33;45;67;70;;3;15;20;49;;46;61;68;80;;95;124;115;132;;35;34;35;60;;8;15;13;34;;
1415000;"Powiat ostrołęcki";0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;4;;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;
1416000;"Powiat ostrowski";0;4;0;10;;0;17;5;21;;0;7;8;7;;0;0;0;0;;12;15;13;18;;34;29;29;35;;7;6;10;11;;0;0;0;0;;
1417000;"Powiat otwocki";10;6;6;11;;31;35;28;38;;15;15;22;27;;21;44;58;117;;47;40;26;39;;58;87;77;85;;47;51;31;31;;16;27;34;28;;
1418000;"Powiat piaseczyński";6;82;159;126;;17;218;639;451;;14;345;392;456;;12;171;399;393;;76;135;300;208;;182;247;579;496;;85;129;325;239;;69;120;328;326;;
1419000;"Powiat płocki";0;0;0;0;;7;0;0;4;;4;0;3;8;;3;4;4;8;;4;6;11;17;;27;12;29;35;;8;11;12;5;;5;9;8;7;;
1420000;"Powiat płoński";5;0;6;8;;8;0;13;41;;0;0;20;10;;0;0;4;3;;42;34;28;38;;49;56;49;50;;29;17;16;20;;4;3;8;3;;
1421000;"Powiat pruszkowski";123;25;98;178;;207;143;298;404;;87;50;143;172;;106;129;136;278;;82;76;93;80;;194;182;176;211;;64;59;78;77;;48;48;77;62;;
1422000;"Powiat przasnyski";0;0;13;5;;8;37;45;23;;3;38;15;12;;0;0;3;6;;15;14;14;21;;28;38;37;37;;12;14;11;21;;0;3;0;0;;
1423000;"Powiat przysuski";0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;7;9;5;5;;9;7;8;16;;5;3;0;0;;0;0;0;0;;
1424000;"Powiat pułtuski";5;10;0;0;;34;43;20;0;;13;9;8;0;;0;0;0;0;;25;35;14;50;;27;79;30;122;;22;17;12;43;;0;0;3;4;;
1425000;"Powiat radomski";0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;35;26;15;23;;44;36;28;42;;12;14;6;12;;0;0;4;6;;
1426000;"Powiat siedlecki";0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;4;0;0;4;;4;0;0;3;;0;3;0;5;;6;5;9;3;;
1427000;"Powiat sierpecki";25;3;0;0;;84;3;25;0;;40;3;8;0;;0;0;0;0;;15;13;17;16;;32;44;30;37;;8;9;13;17;;0;0;6;3;;
1428000;"Powiat sochaczewski";4;0;0;8;;0;3;0;83;;0;3;0;13;;0;0;0;0;;53;60;39;43;;63;73;42;53;;36;27;18;34;;3;0;3;0;;
1429000;"Powiat sokołowski";5;9;4;9;;23;65;19;36;;4;27;10;18;;0;6;0;0;;22;23;12;33;;29;58;29;46;;4;35;8;45;;0;0;0;0;;
1430000;"Powiat szydłowiecki";0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;13;6;10;8;;20;16;15;15;;6;4;3;4;;0;0;0;0;;
1432000;"Powiat warszawski zachodni";39;15;17;108;;236;112;128;268;;102;85;33;84;;199;293;235;244;;50;40;35;45;;72;83;107;116;;40;55;43;51;;101;114;110;51;;
1433000;"Powiat węgrowski";0;0;9;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;14;19;;0;14;12;18;;4;7;9;9;;0;0;0;0;;
1434000;"Powiat wołomiński";22;43;37;64;;128;208;244;250;;278;304;277;227;;241;376;485;499;;117;166;142;178;;305;382;411;371;;120;172;198;211;;68;81;102;144;;
1435000;"Powiat wyszkowski";4;17;0;25;;17;47;0;50;;13;13;0;40;;4;0;0;5;;15;36;25;42;;24;85;58;90;;12;28;12;37;;5;0;3;0;;
1436000;"Powiat zwoleński";0;0;0;0;;0;0;0;0;;0;0;0;11;;0;0;0;0;;3;5;0;5;;11;7;5;7;;0;3;4;11;;0;0;0;0;;
1437000;"Powiat żuromiński";0;0;15;3;;0;0;48;0;;0;0;11;0;;0;0;10;0;;8;8;8;14;;15;16;21;14;;9;6;5;8;;0;6;3;3;;
1438000;"Powiat żyrardowski";11;36;32;38;;52;91;65;83;;23;55;52;46;;6;5;26;13;;45;72;96;95;;54;63;76;97;;19;25;20;25;;0;8;3;8;;
1461000;"Powiat m. Ostrołęka";0;41;18;12;;19;115;96;40;;7;64;71;23;;0;0;5;0;;56;51;54;56;;73;87;78;85;;19;17;29;23;;7;8;0;0;;
1462000;"Powiat m. Płock";99;115;60;126;;200;147;159;225;;78;105;99;74;;6;13;17;18;;194;223;185;236;;238;313;329;328;;67;102;100;75;;25;24;18;23;;
1463000;"Powiat m. Radom";63;38;44;46;;201;135;183;137;;86;100;90;102;;21;28;35;33;;190;220;212;257;;338;373;312;431;;115;133;107;134;;16;24;42;27;;
1464000;"Powiat m. Siedlce";87;91;57;94;;304;277;136;222;;159;69;77;133;;20;15;10;14;;98;107;119;137;;244;195;313;295;;56;58;95;118;;19;13;13;22;;
1465000;"Powiat m. st. Warszawa";1633;1674;2519;2058;;2967;3415;4206;3220;;1884;2247;2938;2377;;1134;1281;1509;1785;;4413;3976;3102;3471;;6285;5938;4440;5070;;2932;2529;1707;1943;;1944;1856;1270;1362;;
1600000;"OPOLSKIE";120;64;212;210;;354;358;622;314;;268;252;370;330;;49;74;111;120;;708;692;656;738;;1389;1406;1399;1621;;629;707;663;775;;256;272;244;328;;
1601000;"Powiat brzeski";17;6;29;34;;43;41;47;53;;23;37;23;32;;0;0;4;0;;105;74;80;85;;184;209;175;213;;75;94;95;100;;51;40;46;52;;
1602000;"Powiat głubczycki";0;0;4;0;;0;0;51;0;;0;0;10;0;;0;0;0;0;;25;16;38;24;;63;54;124;79;;27;28;62;30;;10;7;17;14;;
1603000;"Powiat kędzierzyńsko-kozielski";0;0;3;4;;7;0;0;6;;0;0;0;0;;0;0;0;0;;90;94;92;103;;145;139;125;184;;52;71;46;51;;27;15;25;24;;
1604000;"Powiat kluczborski";5;0;0;0;;14;10;21;20;;10;15;12;36;;4;11;5;4;;37;36;38;39;;79;72;91;97;;50;73;46;64;;12;14;13;23;;
1605000;"Powiat krapkowicki";0;0;0;0;;18;0;0;0;;0;3;0;7;;0;0;0;0;;22;21;25;35;;62;39;62;67;;15;10;23;25;;7;5;8;6;;
1606000;"Powiat namysłowski";10;0;4;7;;63;46;65;24;;24;13;17;8;;3;0;5;5;;20;17;15;19;;58;65;54;51;;34;44;26;34;;11;11;5;12;;
1607000;"Powiat nyski";0;6;15;50;;5;0;29;18;;0;0;16;22;;0;0;0;0;;98;106;104;121;;207;237;230;274;;95;91;87;110;;42;56;41;74;;
1608000;"Powiat oleski";0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;18;19;9;17;;18;22;23;36;;10;6;10;22;;0;4;0;0;;
1609000;"Powiat opolski";0;0;0;0;;3;5;8;4;;0;5;0;10;;0;5;0;7;;35;29;22;44;;75;92;57;83;;46;40;29;54;;17;16;7;21;;
1610000;"Powiat prudnicki";0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;33;30;28;37;;52;68;68;75;;36;26;41;41;;9;23;21;23;;
1611000;"Powiat strzelecki";0;0;0;3;;0;0;0;6;;0;0;0;0;;0;0;0;0;;24;34;15;14;;75;53;38;52;;25;32;19;22;;8;12;7;6;;
1661000;"Powiat m. Opole";86;47;155;109;;200;251;396;183;;209;174;291;214;;39;55;91;99;;201;216;190;200;;371;356;352;410;;164;192;179;222;;61;69;53;73;;
1800000;"PODKARPACKIE";409;729;668;811;;1004;1672;1387;1568;;570;803;673;904;;89;148;175;342;;833;931;826;1040;;1429;1749;1613;1890;;618;735;708;834;;123;149;182;206;;
1801000;"Powiat bieszczadzki";0;0;0;13;;0;0;0;10;;0;0;0;16;;0;0;0;4;;16;21;15;26;;33;22;25;38;;12;13;9;11;;0;3;0;0;;
1802000;"Powiat brzozowski";0;0;0;0;;0;19;10;8;;0;5;0;9;;0;0;0;0;;8;8;0;4;;11;14;5;8;;7;0;7;13;;0;0;0;0;;
1803000;"Powiat dębicki";4;4;4;61;;18;19;8;89;;6;5;3;39;;0;0;0;6;;33;39;27;49;;53;79;67;114;;13;22;36;69;;6;7;10;12;;
1804000;"Powiat jarosławski";9;3;0;24;;30;59;30;59;;25;11;11;20;;8;3;0;3;;42;45;37;49;;52;59;82;74;;36;29;35;44;;9;10;13;18;;
1805000;"Powiat jasielski";0;0;0;0;;0;0;0;4;;0;0;0;0;;0;0;0;0;;25;12;23;35;;32;41;29;30;;12;16;5;15;;0;12;8;3;;
1806000;"Powiat kolbuszowski";8;0;0;0;;27;3;6;0;;14;4;0;10;;0;7;0;0;;4;0;4;6;;3;3;5;5;;4;5;3;0;;0;3;0;0;;
1807000;"Powiat krośnieński";4;0;0;3;;3;0;0;0;;0;0;0;0;;0;0;0;0;;5;13;7;3;;9;7;13;12;;3;0;4;4;;0;4;5;0;;
1808000;"Powiat leżajski";0;0;0;5;;0;0;0;7;;0;0;0;0;;0;0;0;0;;18;15;11;22;;28;40;18;31;;10;12;4;10;;0;0;0;0;;
1809000;"Powiat lubaczowski";0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;9;8;10;5;;12;20;24;23;;10;11;7;15;;0;0;0;3;;
