"Kod";"Nazwa";"rynek pierwotny;ogółem;2018;[zł]";"rynek pierwotny;ogółem;2019;[zł]";"rynek pierwotny;ogółem;2020;[zł]";"rynek pierwotny;ogółem;2021;[zł]";"rynek pierwotny;ogółem;2022;[zł]";"rynek pierwotny;do 40 m2;2018;[zł]";"rynek pierwotny;do 40 m2;2019;[zł]";"rynek pierwotny;do 40 m2;2020;[zł]";"rynek pierwotny;do 40 m2;2021;[zł]";"rynek pierwotny;do 40 m2;2022;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2018;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2019;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2020;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2021;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2022;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2018;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2019;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2020;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2021;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2022;[zł]";"rynek pierwotny;od 80,1 m2;2018;[zł]";"rynek pierwotny;od 80,1 m2;2019;[zł]";"rynek pierwotny;od 80,1 m2;2020;[zł]";"rynek pierwotny;od 80,1 m2;2021;[zł]";"rynek pierwotny;od 80,1 m2;2022;[zł]";
1404000;"Powiat gostyniński";2823608;6017796;2897032;0;;828732;1928985;0;0;;1049424;1638486;2482024;0;;673296;2105458;0;0;;0;0;0;0;;
1405000;"Powiat grodziski";26100988;47715045;161672923;230417105;;3820918;2614540;3953986;11023440;;6014459;13297836;27483173;62087531;;4618502;9294107;32861698;54726472;;11647109;22508562;97374066;102579662;;
1406000;"Powiat grójecki";32533465;6289030;37994825;25725933;;6732279;0;7113939;7941140;;14707159;4665232;19036425;13806424;;10624026;1163798;8465161;3159669;;0;0;3379300;0;;
1407000;"Powiat kozienicki";5328024;3334723;5961895;0;;0;0;0;0;;3811277;2311847;3426304;0;;1244331;0;2399591;0;;0;0;0;0;;
1408000;"Powiat legionowski";109328320;136476819;99663888;237748523;;8198488;21020442;13829536;50781030;;36214480;42764202;25232203;53277761;;46180802;38397216;28581582;63203464;;18734550;34294959;32020567;70486268;;
1409000;"Powiat lipski";0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;
1410000;"Powiat łosicki";0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;
1411000;"Powiat makowski";0;4353206;4423425;2633430;;0;1511008;887000;0;;0;1183984;2086925;0;;0;1658214;784000;1747064;;0;0;0;0;;
1412000;"Powiat miński";149696268;70407213;73407662;164672768;;15385954;5827373;5252020;13971739;;63497857;40414427;26010959;71237452;;53706358;8802431;20667373;46614432;;17106099;15362982;21477310;32849145;;
1413000;"Powiat mławski";18923744;43320952;42850611;101830200;;1863775;1264235;3318423;10655915;;8889776;19755167;26838365;67150998;;7286545;20529650;8880473;16851520;;883648;1771900;3813350;7171767;;
1414000;"Powiat nowodworski";31926674;59711973;124745224;96249274;;5777091;11501647;39884757;14515811;;15490233;28661462;54940990;33763070;;9479350;14144776;22560055;26342662;;1180000;5404088;7359422;21627731;;
1415000;"Powiat ostrołęcki";0;0;0;1466000;;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;1466000;;
1416000;"Powiat ostrowski";0;5998420;4172244;8164618;;0;624560;0;1513952;;0;3085574;958120;4541852;;0;1935126;2236250;2108814;;0;0;0;0;;
